3.0502574010493882e-15, 3.0502574010493882e-15, 0, 0.0, log, cos
14206030409397.21, 14206030409397.213, 1.0, 1.3748562713958564e-16, log, sqr
7.78760513282079e+16, 7.787605132820792e+16, 1.0, 2.0545469020467083e-16, abs, sin
353546.495281175, 353546.495281175, 0, 0.0, log, sin
0.0001216715629542479, 0.0001216715629542479, 0, 0.0, log, sin
104053.2186600981, 104053.2186600981, 0, 0.0, abs, sin
3052410599.170697, 3052410599.170697, 0, 0.0, abs, sqrt
5.475533639091954e-05, 5.475533639091955e-05, 1.0, 1.237553090653308e-16, cos, abs
8.566119996710158e-10, 8.566119996710159e-10, 1.0, 1.2070526283642838e-16, abs, sqrt
5.7588497791229e-12, 5.7588497791229e-12, 0, 0.0, sqrt, sin
3.152499505829375e+18, 3.1524995058293755e+18, 1.0, 1.624108105499292e-16, cos, abs
2.2221804165917944e-16, 2.222180416591795e-16, 1.0, 2.218713035547831e-16, sin, sqrt
946154722852.8916, 946154722852.8917, 1.0, 1.290172839088386e-16, cos, log
8.149082082278912e-16, 8.149082082278912e-16, 0, 0.0, abs, sqr
-0.0, 2.0273682483937007e-14, 61.93284460641669, -inf.0, sin, abs
0.004770831155190593, 0.0047708311551905936, 1.0, 1.8180516345558089e-16, abs, sin
9545668223439.48, 9545668223439.482, 1.0, 2.0460851501250407e-16, log, sin
5.6897275590439386e+17, 5.689727559043939e+17, 1.0, 1.1248341741472434e-16, sqr, cos
1.5701712143352903e-13, 1.5701712143352905e-13, 1.0, 1.6076940359500144e-16, sin, cos
1.4487630746667597e-11, 1.4487630746667598e-11, 1.0, 1.1151493036666779e-16, cos, abs
20002109548092744.0, 20002109548092748.0, 1.0, 1.9997890674393446e-16, sqr, cos
13689591.641756289, 13689591.64175629, 1.0, 1.3606287155779552e-16, cos, sin
143199903937085.44, 143199903937085.47, 1.0, 2.1822640337614765e-16, sqrt, sin
3.029219310965204e-17, 3.029219310965204e-17, 0, 0.0, sqr, abs
2.4691030340576684e-08, 2.4691030340576687e-08, 1.0, 1.340050376421364e-16, log, abs
85728090.33315787, 85728090.33315787, 0, 0.0, log, sqrt
9830748818.54657, 9830748818.546572, 1.0, 1.9401865188683485e-16, cos, abs
1101228652007868.8, 1101228652007868.9, 1.0, 1.1350957838963566e-16, sin, cos
1076205.3948504077, 1076205.394850408, 1.0, 2.163440591990649e-16, log, sqr
76477338141.79187, 76477338141.79189, 1.0, 1.9952039954907465e-16, sqr, sqrt
2.707944330169731, 2.7079443301697315, 1.0, 1.639949554731901e-16, cos, log
-0.0, 2.401628797717943e-12, 61.94298405165916, -inf.0, abs, sin
6.6787673940866485e-16, 6.6787673940866485e-16, 0, 0.0, sqr, abs
49746909098577.875, 49746909098577.88, 1.0, 1.570449328724895e-16, abs, log
3477.603113143623, 3477.6031131436234, 1.0, 1.3076459161419072e-16, log, cos
3.103497731941075e+18, 3.103497731941075e+18, 0, 0.0, abs, sin
1295450.8815430836, 1295450.8815430838, 1.0, 1.7972942623384693e-16, sqr, sin
61137820.37368791, 61137820.373687916, 1.0, 1.2186532904484046e-16, log, abs
223975.27781148354, 223975.27781148354, 0, 0.0, sqr, sin
1.8500701734855904e+17, 1.8500701734855907e+17, 1.0, 1.72966412077824e-16, cos, log
8.647820124023138e-13, 8.647820124023139e-13, 1.0, 1.167625996148892e-16, log, sqrt
3.557035700389379e-10, 3.5570357003893793e-10, 1.0, 1.4534233738195235e-16, abs, log
10806149482930452.0, 10806149482930452.0, 0, 0.0, abs, sin
3.5966868651631207e-16, 3.5966868651631207e-16, 0, 0.0, sin, log
1.5889001270581937e-05, 1.588900127058194e-05, 1.0, 2.132375554208204e-16, sqrt, cos
14425419845201496.0, 14425419845201496.0, 0, 0.0, sin, abs
4892.532381722294, 4892.532381722295, 1.0, 1.8589446748899459e-16, sqrt, sin
1.0638088205396108e-10, 1.0638088205396109e-10, 1.0, 1.2149454696742484e-16, sqr, sqrt
-0.0, 1.7950854983426594e-15, 61.927793578797896, -inf.0, abs, sin
36362056904165.78, 36362056904165.79, 1.0, 2.1485308217272409e-16, abs, log
172.266462590856, 172.26646259085604, 1.0, 1.6498689880169771e-16, cos, sqr
19672267.430141322, 19672267.430141326, 1.0, 1.8936761162336192e-16, sqrt, sin
0.0007552261675836485, 0.0007552261675836486, 1.0, 1.4355993198096103e-16, sin, sqr
0.1799294310716878, 0.17992943107168782, 1.0, 1.5425811914322392e-16, sin, sqrt
1.140129591269502e-14, 1.1401295912695021e-14, 1.0, 1.3838091937297016e-16, sqr, cos
83050.2351343247, 83050.23513432471, 1.0, 1.7521823032566632e-16, sqrt, sin
1.8321277374725024e-06, 1.8321277374725026e-06, 1.0, 1.1558049828212552e-16, log, sin
4.855810074011349e-16, 4.855810074011349e-16, 0, 0.0, sqrt, sqr
7.037792392669696e-08, 7.037792392669696e-08, 0, 0.0, cos, sqr
16396940804.228947, 16396940804.228949, 1.0, 1.163234444513317e-16, sin, cos
7.500354120890525e-09, 7.500354120890527e-09, 1.0, 2.2057108217040174e-16, sqr, log
122.90127315943596, 122.90127315943597, 1.0, 1.1562821401180042e-16, sqr, abs
0.06344732160374675, 0.06344732160374675, 0, 0.0, abs, log
964748930620.6257, 964748930620.6257, 0, 0.0, cos, sin
111329967.67217013, 111329967.67217015, 1.0, 1.3384681146882785e-16, sqrt, log
3.3910734787556554e-11, 3.391073478755656e-11, 1.0, 1.905694045279688e-16, sin, sqrt
1940502315591724.5, 1940502315591724.5, 0, 0.0, abs, sin
61218.31469884694, 61218.31469884694, 0, 0.0, sqrt, sqr
339.2583578668002, 339.2583578668002, 0, 0.0, sin, log
0.000729378836647135, 0.0007293788366471351, 1.0, 1.486473308533942e-16, log, cos
5374723660425104.0, 5374723660425105.0, 1.0, 1.860560771455377e-16, log, abs
3881904090438.787, 3881904090438.7876, 1.0, 1.25783955147848e-16, log, sin
1.259432183687478e-06, 1.2594321836874781e-06, 1.0, 1.68137863678829e-16, cos, sqr
1.2692307980022906e-06, 1.2692307980022906e-06, 0, 0.0, sin, sqr
1.355800549342204, 1.3558005493422043, 1.0, 1.6377379772619288e-16, sqr, cos
368869234503952.0, 368869234503952.06, 1.0, 1.694367384258781e-16, abs, log
1024.3047472282942, 1024.3047472282944, 1.0, 2.2197854306395755e-16, sqr, cos
1.3122671034271324e-16, 1.3122671034271324e-16, 0, 0.0, log, abs
4.168458506753295e-09, 4.168458506753295e-09, 0, 0.0, sqr, abs
7.667710054111044e-05, 7.667710054111044e-05, 0, 0.0, cos, sqrt
1243873211264.8247, 1243873211264.8247, 0, 0.0, sin, sqr
0.004067224453851081, 0.004067224453851082, 1.0, 2.132564228578867e-16, cos, sqr
3.851334237046891e-18, 3.851334237046891e-18, 0, 0.0, sqrt, log
1.2941763888084986e-08, 1.2941763888084988e-08, 1.0, 1.278312013271364e-16, sin, sqrt
0.0057605693554281, 0.005760569355428101, 1.0, 1.505687518840653e-16, sin, sqr
-0.0, 2.6723288390831945e-12, 61.94320215555227, -inf.0, abs, sin
57.717894820983844, 57.71789482098385, 1.0, 1.2310614203166955e-16, sqrt, sqr
0.18112491639175815, 0.18112491639175815, 0, 0.0, log, sqr
547429099171.2532, 547429099171.2532, 0, 0.0, sqr, cos
1.9416115476384572, 1.9416115476384572, 0, 0.0, abs, sin
264.67338599620257, 264.6733859962026, 1.0, 2.1476817038802527e-16, sqrt, log
4.721394498280375e+17, 4.7213944982803757e+17, 1.0, 1.355531718929864e-16, cos, abs
562.6136005614642, 562.6136005614643, 1.0, 2.020691245433126e-16, abs, log
341260877747.8002, 341260877747.8002, 0, 0.0, sin, sqrt
